symbol,current_price,market_cap,enterprise_value,pe_ratio,forward_pe,peg_ratio,price_to_book,price_to_sales,ev_to_revenue,ev_to_ebitda,profit_margin,operating_margin,gross_margin,roe,roa,revenue_growth,earnings_growth,debt_to_equity,current_ratio,quick_ratio,free_cash_flow,operating_cash_flow,beta,dividend_yield,sector,industry,company_name,country,volatility_30d,volatility_90d,max_drawdown,sharpe_ratio,return_1m,return_3m,return_6m,return_1y,sector_category,pe_ratio_sector_rank,profit_margin_sector_rank,revenue_growth_sector_rank,roe_sector_rank,beta_sector_rank,peg_ratio_calculated,quality_score_raw,value_score_raw,growth_score_raw,momentum_score_raw,altman_z_score,financial_health,is_profitable,profitability_status,risk_score,risk_category,quality_score,value_score,growth_score,momentum_score,composite_score
CL,94.41,76304130048,82875727872.0,35.89734,22.778818,,1409.1045,3.743702,4.066,16.841,0.1046,0.20746,0.60107,4.9747,0.16567,0.058,,2188.493,0.995,0.535,3227000064.0,4198000128.0,0.291,2.2,Consumer Defensive,Household & Personal Products,Colgate-Palmolive Company,United States,25.555686008490863,22.334780051635928,-29.045853627638152,0.308003373385656,17.45778778942868,22.93013922801572,12.911750780217002,12.904312733019818,consumer_staples,87.5,50.0,75.0,100.0,62.5,,25.29323107114373,38.38613754062379,41.65292209206874,67.40008347375222,5.680074933346676,Low Risk,True,Profitable,6.0,Medium Risk,0.523419840350256,46.28391765366047,49.34651057539626,73.53388966678244,42.42193443404736
CMG,39.39,52084531200,55329120256.0,34.55263,28.66687,8.6381575,18.152073,4.3674555,4.64,23.229,0.12878,0.15213001,0.40098998,0.47355,0.13878,0.049,0.04,179.319,1.235,1.092,1011670272.0,2113926016.0,0.996,,Consumer Cyclical,Restaurants,"Chipotle Mexican Grill, Inc.",United States,28.76996446170861,44.16007527556422,-56.51489036394434,0.2534292712394891,0.5359854079554749,28.893979312881378,-4.94690951977802,-31.280531054843664,consumer,87.5,87.5,75.0,83.33333333333334,50.0,8.6381575,37.29849150056106,23.97049108624536,25.768224137232394,52.84968728917508,3.1103553759227847,Low Risk,True,Profitable,6.992,High Risk,32.49217381991688,27.878288955389475,19.920834985841285,56.95090767980925,34.31055136023922
CRWD,395.5,99704930304,95764414464.0,,81.821884,,24.821136,21.840363,20.977,-1020.681,-0.06882,-0.05589,0.74277,-0.088149995,-0.02001,0.222,,20.154,1.811,1.615,1416660352.0,1460201984.0,1.034,,Technology,Software - Infrastructure,"CrowdStrike Holdings, Inc.",United States,44.018525605269474,37.50540260708627,-67.69220151886314,0.4266859385144926,-14.73904236895408,-25.73049171970317,-6.829369573206822,-5.947542076243217,tech,,5.263157894736842,78.94736842105263,5.263157894736842,15.789473684210526,,26.38064160011536,32.5,46.69890786521241,22.96719069228227,0.2354063596558222,High Risk,False,Unprofitable,8.068,High Risk,3.419080445121624,38.768606954099695,58.69396816081592,22.8940410140537,30.943924143522736
CSX,40.61,75708293120,93895041024.0,26.37013,19.45436,21.97510833333333,5.752125,5.372431,6.663,14.752,0.20501,0.31642,0.45167,0.22511,0.06774,-0.009,0.012,143.412,0.814,0.215,946625024.0,4613000192.0,1.29,1.28,Industrials,Railroads,CSX Corporation,United States,21.8462544711071,18.929369197756355,-29.44236431928411,0.3682625934403576,14.97735266487712,15.927505044898528,15.503804225470551,26.02501211634629,industrials,16.666666666666664,100.0,16.666666666666664,33.33333333333333,83.33333333333334,21.97510833333333,41.38887648468005,30.17146644197381,29.33500410975173,63.41305600451636,1.9907084310077952,Medium Risk,True,Highly Profitable,7.58,High Risk,43.38444158935168,35.79557870898227,26.52813155950516,68.98990310688474,43.67451374118096
CVS,78.35,99460030464,170162028544.0,206.1842,10.926622,,1.3644121,0.25392538,0.434,11.534,0.0011999999,0.022650002,0.13352,0.0057800002,0.02498,0.078,,111.821,0.832,0.594,6976625152.0,9109000192.0,0.501,3.4,Healthcare,Healthcare Plans,CVS Health Corporation,United States,48.20959135853903,33.47850105573807,-56.788830120038334,0.2330253601223902,-1.991765373262866,0.4254161064926043,21.51423230555043,49.96124835565621,healthcare,100.0,6.666666666666667,40.0,6.666666666666667,60.0,,30.300817459033816,31.030679390586272,46.603708895878,44.76543178128862,-0.0554129280350207,High Risk,True,Marginally Profitable,6.002,High Risk,13.858099100919578,36.89260578681438,58.51761642935342,47.73733976284285,39.25141526998256
D,62.33,53224415232,106237411328.0,20.369282,17.321396,3.2853680645161285,1.9936031,3.3658645,6.718,13.86,0.16790001,0.34504002,0.49029,0.09204,0.029790001,0.149,0.062,154.315,0.845,0.361,-9946749952.0,5015000064.0,0.706,4.28,Utilities,Utilities - Regulated Electric,"Dominion Energy, Inc.",United States,17.8299731569994,18.13147557084419,-52.19993114024317,0.0772075350863303,7.837374833544231,4.187858851567849,3.1517612382325533,20.0842912051977,utilities,100.0,80.0,100.0,40.0,100.0,3.2853680645161285,37.38310770186269,36.87665514675217,35.947965136972755,52.45006036148645,1.4503118975243805,High Risk,True,Highly Profitable,6.412,High Risk,32.71749792163054,44.35663866855884,38.77833905017575,56.4954557416418,43.08698284550173
DD,46.73,19578716160,27330717696.0,27.01156,21.571243,,0.85496825,1.5244659,2.128,8.333,-0.060110003,0.17773001,0.37117,0.03217,0.03462,0.073,,39.673,2.002,0.838,-1093124992.0,1900000000.0,1.16,3.06,Basic Materials,Specialty Chemicals,"DuPont de Nemours, Inc.",United States,30.02246517682943,31.183803428768968,-40.215306334919816,0.4626205360212382,7.672806219538453,19.96978717340645,60.13899031034049,47.25968415113522,materials,20.0,28.57142857142857,71.42857142857143,42.85714285714285,85.71428571428571,,26.653340180343445,48.19460969177016,46.0889512336007,62.970757900334334,1.7745587406833907,High Risk,False,Unprofitable,8.32,High Risk,4.145248267397843,58.80719207514844,57.564051431109455,68.48581913546013,47.250577727278966
DDOG,111.69,39166418944,36305395712.0,360.2903,47.68085,,11.384161,12.194952,11.304,5832.192,0.033239998,-0.00656,0.79959,0.03519,-0.00503,0.284,-0.337,37.199,3.663,3.551,838500736.0,988294016.0,1.286,,Technology,Software - Application,"Datadog, Inc.",United States,60.64677883545653,62.02318269103381,-68.1064309089537,0.228380316035905,-14.53167378229766,-41.46840050601411,-14.681843008966444,-22.892649130033107,tech,100.0,21.052631578947366,89.47368421052632,21.052631578947366,63.1578947368421,,32.270262433602475,20.908318223313486,33.84271188603207,17.558940994223036,2.844177218361149,Medium Risk,True,Marginally Profitable,7.572,High Risk,19.10252526213823,23.968563720145035,34.87845380387333,16.730297691446978,23.66996011940089
DG,146.65,32280430592,47548231680.0,25.328152,20.595608,0.5782683105022831,3.9432642,0.7664345,1.129,15.105,0.03033,0.03999,0.30407,0.16450001,0.04191,0.046,0.438,201.663,1.171,0.183,1971688448.0,3619726080.0,0.255,1.61,Consumer Defensive,Discount Stores,Dollar General Corporation,United States,31.36216662888464,39.88091581099263,-72.60815010276286,-0.0062222189809535,1.840273539225268,53.50784980727372,27.37815824368948,106.42167814932884,consumer,37.5,37.5,62.5,33.33333333333333,12.5,0.5782683105022831,30.716936449654533,59.279398648622575,44.03313922638306,64.77076097304285,1.1304255719637732,High Risk,True,Marginally Profitable,6.0,Medium Risk,14.966180488707092,72.96004400476501,53.75575382485373,70.53726970440486,53.05481200568268
DLR,171.62,60025810944,77816954880.0,47.805016,48.44492,,2.6566153,9.871522,12.797,28.146,0.2152,0.14448,0.55464,0.05469,0.0119,0.171,-0.532,79.109,1.163,1.094,,,1.148,2.84,Real Estate,REIT - Specialty,"Digital Realty Trust, Inc.",United States,23.352747461235744,24.55060261341738,-48.5152171764538,0.3008336793840592,12.221279890485537,2.7583989615336035,2.535947059366772,5.234730033561608,real_estate,80.0,60.0,100.0,25.0,100.0,,48.34395227290405,25.31278419860648,30.45290214192872,55.71456536248439,0.9258731890696292,High Risk,True,Highly Profitable,7.295999999999999,High Risk,61.90508161129953,29.59210378211628,28.598986474755623,60.21598863581234,45.07804012599594
DOW,31.78,22803232768,39649230848.0,,49.53319,,1.4238989,0.57053727,0.992,14.669,-0.065630004,-0.031400003,0.062319998,-0.13818,-0.00066,-0.091,,111.871,1.967,1.023,-784750016.0,1032000000.0,0.753,4.41,Basic Materials,Chemicals,Dow Inc.,United States,48.8846556974509,48.29817596782569,-64.37202946182529,-0.1015233478946948,22.60802697956408,45.14903893564226,54.18561806074989,-11.90182059326238,materials,,14.285714285714285,14.285714285714285,14.285714285714285,14.285714285714285,,25.09667065776805,48.283546943445714,32.44906911523153,82.8164082123519,0.1814180582259554,High Risk,False,Unprofitable,7.506,High Risk,0.0,58.92074550037744,32.29679438687325,91.10376420507892,45.58032602308241
DUK,121.86,94765801472,185862799360.0,19.190552,18.193327,1.511067086614173,1.8777735,3.0338647,5.95,11.651,0.15972,0.27125,0.52401,0.09905,0.02854,0.048,0.127,170.344,0.629,0.243,-1939250048.0,12049000448.0,0.51,3.5,Utilities,Utilities - Regulated Electric,Duke Energy Corporation,United States,12.991783443419386,14.40904443782464,-24.158858524800188,0.4946321699683327,3.8697587174709502,-0.871595028397476,-1.067797067890719,10.257994764475242,utilities,80.0,60.0,20.0,60.0,40.0,1.511067086614173,37.78466137348616,53.17828880679093,31.005835207419665,47.07491368986143,1.0252451292602462,High Risk,True,Highly Profitable,6.02,High Risk,33.78679338699727,65.17026067791232,29.623269659373623,50.36943970041692,44.73744085617503
ECL,290.33,82344812544,88659181568.0,41.834293,34.25581,,12.376587,5.182048,5.579,23.276,0.12489,0.14715,0.44358003,0.21869,0.07754,0.178,,103.915,1.697,1.259,1397549952.0,2629199872.0,0.992,1.01,Basic Materials,Specialty Chemicals,Ecolab Inc.,United States,15.833247432057144,20.246363553697087,-43.69998784471806,0.333117546167109,6.841097006685248,15.049376067756937,6.953847835000127,17.312487333630887,materials,100.0,71.42857142857143,100.0,100.0,57.14285714285714,,37.30549430866186,32.632717374329346,47.350249863247946,55.28382926887242,2.285667323791196,Medium Risk,True,Profitable,6.984,High Risk,32.5108215660992,38.93805802391096,59.90054938675674,59.7250818047614,47.76862769538208
ED,107.34,38742827008,65236828160.0,18.765734,17.795948,1.5133656451612902,1.6033579,2.33489,3.932,10.968,0.122700006,0.25342,0.53414,0.08839,0.03264,0.107,0.124,110.373,1.075,0.694,-85625000.0,4630000128.0,0.388,3.2,Utilities,Utilities - Regulated Electric,"Consolidated Edison, Inc.",United States,14.267245223135076,16.80138988202551,-22.02708246676656,0.6053851330918626,7.147131174788912,11.592918311399458,4.449218854398973,16.374283468921536,utilities,60.0,40.0,60.0,20.0,20.0,1.5133656451612902,36.56638792668592,54.052273362056425,34.21771655780469,54.23919882616272,1.3622953660255654,High Risk,True,Profitable,6.0,Medium Risk,30.54265850716062,66.28614786778958,35.57313278659765,58.53452399487436,47.73411578910555
ELV,338.98,76330942464,71549468672.0,13.440921,11.446815,0.3702733057851239,1.7050536,0.38332984,0.359,7.915,0.02843,0.0154,0.25563,0.1325,0.043509997,0.095,0.363,74.288,1.535,1.412,3399749888.0,4289999872.0,0.503,2.03,Healthcare,Healthcare Plans,"Elevance Health, Inc.",United States,50.83476925915772,37.89238474951414,-50.38193130830473,0.2121954867083024,-9.549851662758968,8.359984262594967,16.529942025087152,-11.506740027466478,healthcare,13.333333333333334,26.666666666666668,60.0,46.66666666666666,66.66666666666666,0.3702733057851239,32.16268633547571,71.30056445793846,32.56242961270728,40.17475098383347,1.2617793124983177,High Risk,True,Marginally Profitable,6.006,High Risk,18.816061354477448,88.30844444638493,32.5067895175881,42.50537384202247,45.53416729011824
EMR,157.38,88495104000,100773560320.0,38.573532,21.964619,7.872149387755101,4.3619733,4.865844,5.541,17.144,0.12718001,0.24597,0.52757,0.09646,0.066149995,0.041,0.049,69.283,0.841,0.571,2879375104.0,3020000000.0,1.249,1.38,Industrials,Specialty Industrial Machinery,Emerson Electric Co.,United States,33.22493390123362,28.431432514192995,-29.614817823643406,0.608558728851478,9.405629617812172,20.20905586287525,19.54680485834464,25.55754814489244,industrials,75.0,33.33333333333333,37.5,8.333333333333332,75.0,7.872149387755101,37.69599434974681,21.1412082591626,31.75496863495109,60.34811621073855,1.1494324721544744,High Risk,True,Profitable,7.498,High Risk,33.550682368440945,24.265913377056453,31.0110050305155,65.49681324550706,38.58110350537999
EOG,113.7,62079447040,66290446336.0,11.290963,11.790691,,2.0415492,2.7403307,2.926,5.637,0.24410999,0.33223,0.62289,0.18476999,0.09086,-0.024,-0.085,26.835,1.624,1.29,2926749952.0,10195000320.0,0.472,3.59,Energy,Oil & Gas E&P,"EOG Resources, Inc.",United States,28.37325644238623,23.78953663581643,-33.41954697622649,0.6297398622580304,8.72773063507315,9.317970359881356,-0.3388358379553091,-6.919314923915342,energy,14.285714285714285,100.0,42.85714285714285,85.71428571428571,28.57142857142857,,45.10168469600894,59.47691670441061,24.26817098456889,54.41165997404563,2.6814598347085123,Medium Risk,True,Highly Profitable,6.0,Medium Risk,53.27126186943858,73.21223137683633,17.14205520904822,58.73107672598324,50.58915629532659
EQIX,848.12,83273580544,102201573376.0,78.095764,55.312183,3.410295371179039,5.882206,9.175141,11.261,26.206,0.118,0.21851999,0.50353,0.077,0.03196,0.066,0.229,147.969,1.34,1.069,3821750016.0,3748000000.0,1.067,2.21,Real Estate,REIT - Specialty,"Equinix, Inc.",United States,23.14352407378394,22.302204751314115,-41.76799578421721,0.2243323655037988,8.471886967400199,4.14069413099698,10.59795620270638,-7.541986906725562,real_estate,100.0,40.0,60.0,50.0,80.0,3.410295371179039,36.3419441864646,8.710770146844274,30.653532465145805,53.74740492802398,1.4528736826218112,High Risk,True,Profitable,7.134,High Risk,29.944988281214712,8.39496168743052,28.97064496150804,57.97403002270455,31.321156238214456
EXC,44.33,44772737024,93182173184.0,15.888889,15.649988,0.6938379475982532,1.5930572,1.8412114,3.832,11.603,0.116009995,0.22177,0.42286998,0.10308,0.02853,0.09,0.229,177.601,0.939,0.608,-1639750016.0,6435999744.0,0.566,3.61,Utilities,Utilities - Regulated Electric,Exelon Corporation,United States,15.258201625432472,16.237977589349022,-29.054823546976195,0.5341539381270892,2.025318878396498,-2.172216755469936,-0.4517381046325264,11.725488299624075,utilities,20.0,20.0,40.0,80.0,60.0,0.6938379475982532,35.25482198687539,65.00413942599691,33.81836914227281,45.16086440464839,1.1918712819082151,High Risk,True,Profitable,6.132,High Risk,27.05009546745846,80.26928632529932,34.83335998573109,48.18801148250279,47.58518831524791
FCX,60.67,87117905920,103369998336.0,39.914474,18.253313,0.8367814255765199,4.494407,3.3616786,3.989,11.733,0.08505,0.14397,0.37063,0.13946,0.07192,-0.015,0.477,33.768,2.291,0.912,1371124992.0,5609999872.0,1.434,0.99,Basic Materials,Copper,Freeport-McMoRan Inc.,United States,48.492968462193545,40.92856437083977,-51.256968298280114,0.507919414245891,12.174787630518004,57.36395412817439,45.782954726488455,65.58285214428363,materials,80.0,57.14285714285714,28.57142857142857,71.42857142857143,100.0,0.8367814255765199,35.616304208559995,43.16197259314772,37.20118745303527,76.70561997546815,2.493006068387708,Medium Risk,True,Profitable,7.868,High Risk,28.01268484908532,52.38161483145471,41.09987600472756,84.13934275751296,51.408379610695135
FTNT,82.76,63416180736,58912755712.0,34.198345,24.948376,341.98345,49.705708,9.326457,8.664,26.462,0.27257,0.32766,0.80456,1.3571601,0.12866001,0.148,0.001,80.509,1.172,1.048,1783074944.0,2590599936.0,1.047,,Technology,Software - Infrastructure,"Fortinet, Inc.",United States,30.82144301455914,28.63683758403228,-38.315892861555206,0.6153861553572662,6.034591800527256,2.756395822532376,11.251516084495016,-20.97020514561565,tech,50.0,63.1578947368421,42.10526315789473,94.73684210526316,21.052631578947366,341.98345,49.10508002266141,20.49495104235236,30.887558018865267,51.30308688503332,6.265697428954657,Low Risk,True,Highly Profitable,7.093999999999999,High Risk,63.931885271417634,23.4407842082862,29.4041665835744,55.18825831153202,42.99127359370256
GIS,47.87,25542574080,38606372864.0,10.294623,12.8190365,,2.7416954,1.3603334,2.056,10.894,0.1351,0.17874001,0.33830002,0.27173,0.056810003,-0.072,-0.458,147.23,0.657,0.334,2478249984.0,2359800064.0,-0.063,5.1,Consumer Defensive,Packaged Foods,"General Mills, Inc.",United States,29.71026492629873,24.146935091976044,-47.73927243139764,-0.0081654201685878,10.528750012331043,5.576825725584267,-1.3575640551581225,-15.149134024838665,consumer_staples,12.5,75.0,25.0,42.85714285714285,12.5,,37.67502499872038,61.21655258273564,18.25349893840905,54.71656328128783,1.6122836657085031,High Risk,True,Profitable,6.0,Medium Risk,33.49484317794472,75.4333660410342,6.000150659709389,59.07857283451708,43.50173317830135
HAL,34.98,29824020480,35451441152.0,23.32,13.014264,,2.7921455,1.3443933,1.598,8.603,0.05783,0.14902,0.15705,0.12274,0.07374,0.008,-0.005,79.162,2.04,1.279,2139624960.0,2926000128.0,0.75,1.94,Energy,Oil & Gas Equipment & Services,Halliburton Company,United States,40.70497989246263,39.57818151402128,-54.01058116005514,0.4684320036502827,8.734850895961799,28.80492301347544,69.70393780148217,41.36297427499191,energy,85.71428571428571,28.57142857142857,85.71428571428571,42.85714285714285,85.71428571428571,,33.597342055381624,50.98836804074742,31.625155769155,67.54943805249172,2.158096728035164,Medium Risk,True,Profitable,6.5,High Risk,22.63639961575048,62.37421066198067,30.77053264085301,73.70410800705929,47.37131273141086
